film_id,num_user,num_critic,imdb_score,num_votes,facebook_likes
1143,113,57,7.3,10499,0
519,227,88,5.1,29659,1000
3105,33,67,7.1,8087,1000
2146,31,12,5.7,3088,290
2052,62,52,2.7,3611,131
2978,66,83,6.5,11391,1000
1582,985,190,6.1,86890,0
2216,835,285,7.5,149966,0
3694,679,510,6.9,508818,46000
4477,397,351,6.4,216581,21000
4782,15,23,5.2,2032,620
4826,144,181,5.8,44296,12000
910,514,134,8.2,469561,21000
748,145,40,6.6,35314,0
4450,779,321,6,101178,90000
1241,198,59,6.2,33745,0
4816,114,130,5.6,36487,0
113,7,12,7.3,340,32
3020,9,11,4.3,1118,77
1215,147,59,5.7,14904,0
1046,216,61,5.8,24868,964
2214,5,10,6,369,12
4222,352,180,4.3,79146,25000
2801,257,186,5.4,115099,2000
754,14,10,6.4,438,20
1552,346,109,4.5,34435,886
287,426,96,8.4,168203,11000
4262,122,238,6.5,64747,12000
4169,142,231,7.1,49240,12000
1092,523,116,8.2,414976,21000
4729,351,421,8.3,161288,72000
859,185,62,6.9,63459,3000
2783,124,146,7,56654,0
2437,99,60,7.3,6261,0
2874,319,190,5.9,111087,0
2084,1390,248,5.5,138863,0
4531,436,292,7.2,229574,56000
826,184,83,7.1,54478,0
492,204,99,7.3,153468,0
4493,24,16,8.7,3144,0
4143,182,283,7.4,99430,43000
1569,69,27,4.9,3754,113
4737,17,18,3.4,838,728
4236,4,23,5.7,625,124
4226,629,384,7.3,447979,105000
666,223,57,6.9,181380,0
4201,313,535,7.4,96233,26000
3296,77,111,5.6,25344,0
1269,59,73,5.4,10100,153
2674,1033,285,5.6,115649,4000
4674,1,null,8.2,108,232
2025,114,72,7.2,5709,754
3052,189,141,3.9,26624,0
1650,274,94,6.7,70292,8000
4905,29,72,7.3,2581,0
1355,188,100,5.1,12093,394
4087,1,13,6.7,37,38
3369,290,221,5.2,75345,0
4079,189,162,5.1,25484,13000
293,31,19,4.2,1040,425
2945,82,62,5.7,11285,509
273,494,151,8.3,235133,0
2453,1053,276,6.8,155745,10000
2264,186,89,7,58906,0
2584,97,105,6.5,13239,0
3747,142,152,6.3,89568,17000
4936,50,10,8.2,10388,0
3324,201,167,5.2,84209,0
1899,258,96,6.4,89128,0
991,53,43,6.6,6705,167
4696,174,260,7,87682,43000
279,319,125,7.9,142448,14000
2162,63,60,6.6,3291,400
2500,236,91,6.8,76467,0
1426,805,214,7.1,193962,5000
4888,117,122,6.3,12276,21000
1584,205,78,5.9,41664,0
3501,311,179,6,181443,12000
2200,433,209,7.7,110394,0
1179,132,105,6.9,12980,646
504,215,77,7.6,54042,0
2622,187,78,4.3,39471,0
4346,3,null,6.9,44,224
547,35,11,5.5,7470,0
3450,20,34,5.9,3443,480
4053,141,232,6.2,78974,11000
3897,190,447,7.9,70382,33000
1310,3646,313,8.7,1217752,25000
3874,199,257,7.1,111003,22000
3200,435,298,6.7,207839,0
512,159,88,7,61396,11000
648,112,43,7.1,38949,0
148,137,101,6.2,7584,0
673,180,75,3.9,35018,716
1823,249,74,7.5,23486,0
2056,52,54,6.2,4257,188
945,277,93,5.8,62271,0
2728,81,46,7.4,14100,0
2552,86,78,6.8,11132,0
408,419,184,7.2,49672,3000
1639,481,127,6.5,43839,0
2984,359,111,1.9,74945,0
2962,32,25,6,3425,0
2672,352,251,6.5,61912,0
3750,233,84,1.6,74351,62000
4633,15,6,5.1,1091,0
4204,1187,608,7.2,557489,95000
3278,20,59,5.5,2541,342
3169,111,137,5.7,23767,845
595,115,31,6.8,55895,0
4854,13,1,8.2,374,0
495,281,142,6.5,62038,0
4768,345,298,6.8,62836,20000
645,495,131,8.3,277505,10000
1963,95,46,5.7,8215,371
4868,145,210,7.2,64322,24000
1316,253,85,4.6,13065,897
2921,308,300,7.5,120189,11000
4859,50,23,5.2,4510,0
3134,370,299,7.6,189812,15000
3977,154,211,6.9,119213,17000
3410,230,178,4.8,42182,0
4575,462,355,6.3,172707,37000
4239,511,525,6.4,175413,60000
840,77,31,6.1,9845,613
4132,9,16,5.3,502,207
1707,33,40,5.7,9693,530
4410,741,585,7.9,431620,77000
542,293,98,5.4,43743,0
4433,1,3,6.7,83,165
1567,131,85,6.3,22649,0
3895,82,20,3.1,2753,0
1454,101,91,6.3,5178,132
1741,276,181,7.1,71596,3000
698,78,22,5.9,33186,0
2413,75,55,6,5585,997
1237,122,77,6.3,8697,374
1198,133,42,4.6,6884,458
3316,21,14,5.3,4387,240
4815,4,5,4,146,244
1460,677,225,6.3,79877,0
1223,527,196,6.8,77493,6000
4615,410,44,8.4,62756,21000
1602,165,81,6.4,15053,393
612,31,10,6.7,15730,0
471,37,27,5.6,1768,208
4735,81,155,6.2,20186,0
1878,174,92,7,26434,0
4109,172,265,6.7,156898,22000
4751,23,95,5,3119,0
3262,301,230,6.4,100837,0
2002,158,39,6.3,12675,0
3483,302,213,5.7,63493,26000
1608,214,137,7.4,19397,0
1000,62,36,2.8,8687,0
797,173,60,5.2,24790,0
1977,297,133,4.6,46417,660
389,52,21,4.8,3334,739
4630,18,6,3.1,735,402
4926,150,226,4.8,34964,28000
1745,124,82,6.8,27052,0
881,309,104,8,72443,0
2608,149,98,5.3,44103,0
128,55,32,7.1,4998,785
4693,1290,644,7,418214,150000
2003,347,196,6.3,89816,0
4760,374,426,7.8,182983,99000
1920,286,131,6.5,49926,0
3693,64,49,3.3,9541,0
2213,13,15,7.2,131,30
1093,370,102,5.1,58402,0
1087,494,39,6.8,1024,140
4277,87,162,3.9,8511,0
439,34,16,5.9,7900,263
635,71,10,6.9,10410,892
1129,40,35,7.2,2412,539
2154,609,187,8.1,264533,12000
2982,168,160,7.2,127760,0
98,56,30,6.8,8508,328
2286,23,17,6.9,806,187
3110,4667,645,9,1676169,37000
720,140,47,4.4,17997,812
4616,1,9,4.3,569,114
4081,329,322,5.5,185394,65000
398,284,99,7.4,99557,21000
299,48,14,5,3904,495
2558,613,99,2.7,50415,806
4577,26,101,7.2,14437,0
62,596,153,8.7,229012,11000
2131,244,89,6.3,47800,0
968,462,140,7.5,239540,0
868,50,20,6.2,5668,491
4216,164,260,5.6,59248,48000
3452,39,17,7.1,5741,0
292,58,78,4.5,1905,249
4561,244,285,6.5,92364,15000
2001,83,82,7.2,10585,0
2054,255,151,6.7,82731,0
1353,148,100,5.1,66941,1000
3291,791,279,6.2,186879,0
2192,3,null,6.1,156,22
1773,132,58,4.6,12263,564
3904,129,156,5.3,37156,0
3274,203,161,6.4,132048,12000
1468,85,57,3.6,15517,500
325,211,127,6.9,29932,0
298,294,177,7.6,133966,0
3268,304,84,8.1,155249,115000
2705,645,236,7.6,295375,15000
3207,39,79,6.4,11958,1000
3147,36,60,6.8,6723,1000
1936,117,75,5.6,11815,320
3627,89,102,5.8,11950,0
437,64,52,5.5,5187,902
1801,21,28,7,493,61
1992,122,60,6.4,4894,298
2065,28,44,7.5,1747,353
844,105,50,6.8,15088,824
4319,533,440,6.7,328067,68000
4284,105,224,6.2,29282,11000
2717,220,143,7.5,77656,0
2464,11,27,6.8,1227,62
1308,240,111,7.1,24412,944
2389,243,151,7.4,31130,0
1094,703,98,7.1,169023,10000
85,207,103,7.7,67822,0
4192,28,62,6.5,8227,0
2230,700,233,7.2,136048,0
663,72,19,6.1,37611,0
2306,2254,357,7.7,259837,13000
4547,275,276,7.4,136973,47000
4857,1,null,7.2,178,0
15,204,145,7.7,133348,0
1186,106,55,5.9,11232,0
2042,786,202,5.8,141533,0
1034,218,130,7.1,67604,12000
1781,67,12,6.3,5182,912
3357,14,21,5.9,2280,448
3804,130,231,4,20823,0
3229,62,149,7.7,8429,0
3793,80,54,7.5,13003,10000
3991,3,4,4.8,243,223
486,418,123,7.9,219008,0
2173,11,25,7.2,772,83
3727,79,156,5.9,32399,0
3263,90,145,5.1,33042,0
818,174,74,7.5,26513,0
1441,734,212,5.5,98535,0
4872,156,263,6.7,31359,0
594,24,10,5.8,3013,344
3431,641,350,6.7,361924,0
3827,266,264,7.3,75306,48000
3495,84,101,3.8,12399,0
1068,98,73,5.3,74343,694
1125,274,108,6,81611,0
2661,188,132,6.2,20000,0
1255,549,140,7.4,100743,0
155,36,13,6.9,2603,608
850,224,85,7.8,30618,0
2601,646,230,7.6,273108,0
775,76,45,6.6,9105,0
399,692,204,8.1,600266,13000
3445,8,35,5.8,463,594
2397,70,110,7.8,9037,0
3594,22,42,3.9,1328,0
1264,602,150,7,203269,11000
80,167,100,8,62860,0
3478,250,298,5.6,40776,10000
3834,226,174,5.8,30511,0
3615,176,225,6.1,28483,0
2803,12,35,6.2,1656,155
987,488,195,6.1,124941,0
4429,1097,653,8.1,682155,96000
4953,null,null,7.2,18,0
3159,365,275,7.2,198111,14000
342,87,44,6.2,15345,0
4506,154,175,5.5,54501,16000
929,470,156,7.7,224671,11000
2848,88,100,6.3,21379,0
2332,108,26,4.9,5018,473
2878,32,85,7.3,7148,773
2655,48,69,7.1,3675,426
2994,35,14,3.8,9560,636
964,15,5,5.4,405,97
3514,2803,642,8.8,1468200,175000
460,118,95,6,15956,1000
3922,175,286,6.4,24668,0
2016,192,165,6.2,81444,955
3144,125,124,4.9,16582,0
3805,412,382,7.5,338635,39000
1169,151,81,7,12366,507
1566,651,187,7.3,65201,0
4028,48,82,5.7,5161,0
2359,576,228,5.3,94456,0
4281,195,257,7.3,150618,28000
487,219,114,7.4,119150,0
3205,10,8,4,551,303
1367,136,59,6.6,4662,170
2403,32,30,6,3322,265
871,118,53,6.4,63839,0
3761,124,134,6.8,52972,21000
816,88,44,5.5,23579,0
2024,288,160,6.8,35065,0
2633,229,190,6.6,71137,0
2481,316,156,6.6,69172,0
2108,129,65,6.1,30092,0
2048,132,98,5.2,29861,505
4342,43,69,6.7,12817,0
2849,47,15,7.3,13577,341
1037,181,63,5.8,27675,0
3802,518,420,6.2,104119,26000
3204,115,217,7.1,45992,7000
3365,1,null,6.2,62,54
4250,12,72,6.1,1658,543
3271,140,131,4.2,31760,0
1208,194,42,6.8,30682,0
3995,250,223,7.2,213898,36000
1637,53,51,5.4,7392,393
3928,86,162,6.3,32512,0
2273,124,88,7.1,11798,2000
4141,258,231,6.2,67796,14000
694,59,19,7.2,13442,0
54,107,44,6.7,9456,625
4205,205,338,6.3,106416,22000
1598,548,163,6.2,131801,0
3395,23,66,6.2,1268,195
3232,279,310,7.7,143121,10000
4490,null,null,7,8,65
766,202,93,7.2,138707,0
3184,249,240,6.8,72809,0
884,286,143,7.6,97838,3000
3142,75,147,7,27266,0
2291,161,112,6.6,58297,0
988,155,37,6.7,19126,0
1583,118,66,6,23943,425
767,346,148,7.6,299258,0
1700,564,119,7,187181,0
2988,321,293,7.5,99236,0
3477,264,190,5.9,80338,0
4708,188,181,5.5,47320,12000
2442,307,209,7.5,98160,0
1336,648,85,4.8,129601,0
2799,399,222,7.1,142496,0
2124,182,96,7.8,18940,2000
3559,419,217,5.9,141179,9000
4545,608,454,8.1,467613,165000
3562,619,351,6.4,171418,17000
1628,497,103,6.4,93367,0
402,94,55,7.4,29610,0
57,88,67,6.7,4812,465
742,4144,199,9.3,1689764,108000
2914,29,18,5.9,1573,285
2662,614,210,6.2,142115,0
351,178,57,6,23351,0
4089,248,285,6.2,104005,18000
2484,78,64,6.7,5321,356
4304,711,450,6.5,181792,48000
3829,149,215,6.4,136680,13000
1003,39,42,5.8,16222,0
2296,152,107,7,24033,0
91,50,15,6.8,4550,419
607,209,82,7.2,68159,0
936,500,147,7.3,114070,0
2256,1111,177,7.9,396396,57000
2376,336,223,7.6,175962,0
282,335,212,6.8,46493,7000
2755,46,8,7,3262,377
1370,690,177,8,79330,0
867,378,154,7.1,300542,0
3257,112,248,7.3,47385,0
4393,13,9,4.8,455,570
4706,275,308,6.4,142403,70000
2492,63,100,5.7,7833,215
946,131,104,7.4,35586,0
2641,15,14,5.8,1010,104
1834,390,163,7.1,67949,15000
2159,789,225,7.1,387632,0
2034,466,149,5.4,77029,0
4643,362,437,7.7,146708,70000
2010,157,33,6.8,17725,1000
3660,100,143,4.6,16385,0
2271,207,86,4,23747,0
3193,137,138,5.9,30836,7000
1520,40,9,6.7,1489,133
1372,73,39,7.3,4359,495
361,182,112,7.2,44804,0
586,72,40,5.5,28736,0
448,219,106,7.3,61621,0
1464,370,136,7,20449,1000
4128,2,17,7.1,330,231
4544,2,7,7.4,66,83
1082,51,29,5.5,5427,0
4611,2,5,7,123,215
2238,1100,185,7.7,357579,15000
4184,21,15,6.1,2561,0
753,203,63,6.8,172405,0
3560,374,365,5.5,72552,13000
1386,284,102,5.1,27305,604
668,55,25,5.5,17074,466
1062,106,37,6,11729,645
3394,12,34,6.5,1119,797
1803,277,114,6.7,26773,0
2877,338,198,7.2,256213,0
1675,1109,239,7.6,268581,20000
3915,70,133,5.5,17169,9000
3201,110,107,5.7,26236,0
46,90,55,7.4,11920,721
2366,208,120,5.8,63599,0
3582,131,180,6.4,101730,0
129,109,26,7,25472,0
4140,25,65,5,7894,0
3555,64,25,5.5,9280,0
3344,60,116,6.4,13371,0
116,72,25,7,6804,805
3661,136,91,5.8,41273,0
1866,298,107,6.5,37952,938
3964,448,387,7,226583,38000
2741,155,87,7.7,11283,0
872,158,79,6.6,98989,1000
1498,379,134,5.9,49536,0
2864,108,133,6.2,8824,559
459,95,50,6.4,84824,0
4039,1225,599,7,451803,56000
4400,33,54,6.4,6069,0
3527,181,134,6.4,71276,13000
4023,1498,750,7.8,522048,80000
41,23,9,6.2,989,44
697,242,61,6.9,216486,0
4787,360,249,6.4,138246,24000
4451,631,533,6.9,112899,45000
4825,131,218,6.4,21352,30000
3481,264,262,7.1,276746,19000
1249,25,20,6.7,1238,117
1357,457,160,4,28964,949
3286,215,66,7,18486,11000
4777,116,117,7.1,50041,23000
3162,156,231,8,46107,0
110,67,53,6.8,5294,251
2018,17,15,7.2,3290,387
4067,405,546,7.1,105144,27000
3471,207,247,6.3,127571,0
3889,11,58,6.3,5525,853
2807,125,88,5.9,20539,681
2623,72,68,7,7308,933
3067,119,158,6.8,18561,0
3047,100,80,5.9,36983,0
239,265,75,5.7,51314,0
4310,119,186,7.1,27882,18000
2692,1966,294,6.6,314253,0
30,27,9,7,1553,116
3717,8,8,5.9,266,348
429,86,64,6.8,14870,0
440,165,63,6.9,49349,0
307,21,2,5.2,892,106
4385,112,177,5.7,32103,0
1013,287,124,7.5,46396,0
3211,31,33,6.3,1388,479
2189,310,232,6.5,47097,0
1681,213,104,6.1,23728,813
1196,358,140,6.4,56874,0
2026,394,89,6.6,93494,0
2353,450,180,5.9,70205,0
2629,236,111,6.2,28005,0
4406,285,218,5.7,97045,55000
1122,132,56,7.2,8224,0
1219,195,115,6.1,35599,641
4618,207,261,5.4,38983,11000
464,37,57,5.9,1324,241
670,261,68,7.7,178731,0
127,186,107,5.9,24436,0
3206,212,280,6.7,64944,6000
444,89,48,7.5,15175,1000
4370,64,8,6,7870,884
45,69,40,7.2,7346,624
3088,277,173,6.9,212499,0
354,9,4,6.1,487,7
4963,44,14,6.7,12854,0
3593,203,238,6.8,61787,19000
1530,159,111,6.1,21530,618
2561,114,31,2.8,3851,346
1884,32,17,6.1,2004,183
4699,1588,739,8.1,552503,191000
605,983,210,8.5,744891,13000
4912,73,253,7,9866,0
989,119,76,7,96385,0
4286,3,8,7.5,2488,282
4266,235,469,6.8,84620,27000
516,333,172,7.3,73501,27000
4312,59,125,5.4,27257,0
3600,97,148,5.3,40654,0
1620,79,46,4.1,3662,0
2123,207,99,7.7,39929,0
1514,386,174,6.8,79186,0
274,70,32,4.7,2933,328
4765,150,159,4.2,13521,0
3591,135,138,5.4,34985,0
1100,6,2,6.5,103,102
2714,203,122,6.8,8143,0
2504,147,91,7.8,12560,0
3637,498,293,4.9,184637,29000
1950,497,84,6.3,13215,953
1121,139,100,6.1,77415,0
2297,149,75,4.6,22679,773
1893,217,127,7.1,71527,0
4125,9,11,4.7,840,326
2068,806,226,7,208092,0
4756,867,474,6.6,188457,82000
3354,252,258,6.3,151424,0
3608,165,258,6.9,55441,0
2826,224,232,7.2,60115,0
2250,39,42,5.7,3789,89
3345,126,167,5.1,24012,0
1162,481,100,6.3,39331,0
2012,479,204,7.1,210680,0
257,90,33,7.4,8856,0
4247,24,18,5.4,2895,604
2612,1040,284,5.6,78635,0
506,73,34,6.2,18286,0
1538,336,76,7,29424,0
2417,1594,276,8,242599,14000
1182,217,91,6.7,31080,0
3846,288,421,7.1,188652,22000
1160,403,114,6.1,42664,0
2406,32,45,6.4,4180,264
4168,554,326,6.7,184561,123000
2112,903,212,7.3,168314,12000
4673,125,322,7.1,28845,10000
2682,2367,434,6.1,240396,0
3697,85,212,6.3,32697,0
3910,47,95,4.7,6531,0
1954,376,207,5.8,89557,0
2520,31,71,6.1,3228,244
3073,192,209,7.3,194489,12000
4829,46,81,6.7,4654,18000
243,113,71,8.2,12611,0
209,881,211,8.3,507063,35000
1778,841,283,7.9,149414,0
1457,167,110,5.7,25346,470
2249,400,193,6.2,84131,0
2908,211,161,5.1,49721,0
3032,120,186,6,27664,472
4587,731,535,8.5,399138,129000
210,91,40,7.3,16323,0
3649,200,324,7.6,127842,49000
3070,414,323,7.3,152591,0
1175,114,47,6.6,6782,860
932,560,153,7.9,189032,0
3424,1229,451,7.7,392474,18000
4540,802,422,7.5,354228,65000
3323,310,219,6.8,121432,10000
2764,4,6,4.8,443,42
3018,171,128,4.5,43795,0
4858,83,148,6.1,39440,15000
1145,39,63,6,8309,315
3865,517,466,7.1,149066,24000
1401,259,148,6.4,44816,0
4713,186,256,5.8,39956,24000
2812,401,219,6.7,98693,0
4631,4,4,5.7,80,18
4390,9,46,4.1,794,447
2819,18,62,3.3,4600,238
2657,90,112,6.7,14325,0
1103,307,158,7,71708,0
1390,74,46,6.5,3562,0
1365,358,187,7,140499,0
3857,115,138,4.8,29147,0
3310,20,49,5.9,8265,545
4519,144,148,4.9,35965,11000
1228,2968,315,8.8,1347461,48000
1400,64,63,5.3,1977,133
3592,100,249,7.3,65877,17000
3625,316,265,6.7,189806,16000
387,383,97,6.4,41776,0
787,216,92,6.6,119675,0
1693,84,64,5.5,12466,304
3602,135,161,5.5,96565,0
3891,348,393,5.9,128629,98000
90,471,127,8.4,215086,15000
3565,52,81,6.7,13874,0
2452,9,3,1.9,534,128
760,248,88,6.8,123390,0
1536,181,47,5.6,25541,0
1603,26,21,6.5,1033,282
3036,101,128,5.8,54421,3000
4036,623,457,7,471644,74000
3931,35,88,6.4,15665,0
2842,363,299,7.3,133367,0
2420,8,27,7.5,291,50
1314,206,39,3.5,4682,129
678,35,14,5.9,3119,331
1782,148,109,6.6,21613,762
4117,27,24,4.7,4265,0
1579,144,100,7.1,14786,0
1405,167,100,4.8,9338,209
1775,858,232,7.4,387616,0
4209,378,350,6.6,202967,36000
4257,306,405,7.5,117719,39000
416,64,46,6.9,10577,0
1871,141,104,6.9,18966,0
4608,5,9,4.9,590,161
2449,46,21,6.2,2613,445
